id,t_base,width,length,stress,rth,Temp,area
163,2.734375,55.3125,96.5625,864844882.9,0.720032912,27.20032912,5341.113281
164,4.734375,95.3125,56.5625,878573157.8,0.722525076,27.22525076,5391.113281
165,3.734375,35.3125,36.5625,975921007.5,0.923122342,29.23122342,1291.113281
166,1.734375,75.3125,76.5625,922653898.5,0.750004255,27.50004255,5766.113281
167,1.984375,40.3125,21.5625,860990224.4,0.673711336,26.73711336,869.2382813
168,3.984375,80.3125,61.5625,861116777.7,0.703298267,27.03298267,4944.238281
169,4.984375,20.3125,81.5625,861481488,0.644371787,26.44371787,1656.738281
170,2.984375,60.3125,41.5625,935536854.5,0.963323782,29.63323782,2506.738281
171,2.484375,30.3125,71.5625,989678483.2,1.02160887,30.2160887,2169.238281
172,4.484375,70.3125,31.5625,888022716.6,0.850481075,28.50481075,2219.238281
173,3.484375,50.3125,51.5625,870705313.2,0.760483478,27.60483478,2594.238281
174,1.484375,90.3125,91.5625,962253799.5,0.821798801,28.21798801,8269.238281
175,1.359375,52.8125,64.0625,910321512.3,0.74097189,27.4097189,3383.300781
176,3.359375,92.8125,24.0625,864148147.7,0.664783333,26.64783333,2233.300781
177,4.359375,32.8125,44.0625,862182745.1,0.634064019,26.34064019,1445.800781
178,2.359375,72.8125,84.0625,930651416.2,0.987705057,29.87705057,6120.800781
179,2.859375,22.8125,34.0625,916411213.8,0.823633848,28.23633848,777.0507813
180,4.859375,62.8125,74.0625,969071748.3,0.908685266,29.08685266,4652.050781
181,3.859375,42.8125,94.0625,874416631.4,0.852223668,28.52223668,4027.050781
182,1.859375,82.8125,54.0625,893227618.5,0.734079468,27.34079468,4477.050781
183,1.609375,37.8125,89.0625,996589210.2,1.059195951,30.59195951,3367.675781
184,3.609375,77.8125,49.0625,942116380.1,0.896673101,28.96673101,3817.675781
185,4.609375,57.8125,29.0625,862818865.2,0.726732821,27.26732821,1680.175781
186,2.609375,97.8125,69.0625,860895687.7,0.705023617,27.05023617,6755.175781
187,2.109375,47.8125,59.0625,929027851.1,0.937748385,29.37748385,2823.925781
188,4.109375,87.8125,99.0625,982792601.4,0.774618151,27.74618151,8698.925781
189,3.109375,27.8125,79.0625,984522357.6,0.838835714,28.38835714,2198.925781
190,1.109375,67.8125,39.0625,883123951.7,0.846312721,28.46312721,2648.925781
191,1.078125,35.9375,78.4375,867494776.9,0.705450312,27.05450312,2818.847656
192,3.078125,75.9375,38.4375,955477175,1.01663961,30.1663961,2918.847656
193,4.078125,55.9375,58.4375,904409066.9,0.867169005,28.67169005,3268.847656
194,2.078125,95.9375,98.4375,866808998.4,0.60579403,26.0579403,9443.847656
195,2.578125,45.9375,28.4375,868419538.6,0.602352383,26.02352383,1306.347656
196,4.578125,85.9375,68.4375,901527672.1,0.86497095,28.6497095,5881.347656
197,3.578125,25.9375,88.4375,952107802.4,0.834886771,28.34886771,2293.847656
198,1.578125,65.9375,48.4375,866095860.6,0.796074114,27.96074114,3193.847656
199,1.828125,50.9375,93.4375,880802272.2,0.751298898,27.51298898,4759.472656
