name,thermal_cond,thermal_cond_liq,spec_heat_cap,spec_heat_cap_liq,density,density_liq,electrical_res,rel_permit,rel_permeab,q3d_id,young_modulus,poissons_ratios,thermal_expansion_coeffcient,type,melting_temp
Isola Gigaver 210 (tm),,,,,,,,3.75,,Isola Gigaver 210 (tm),,,,Conductor,
Isola Gigaver 410 (tm),,,,,,,,3.9,,Isola Gigaver 410 (tm),,,,Conductor,
Isola GreenSpeed (tm),,,,,,,,,,Isola GreenSpeed (tm),,,,Conductor,
Isola I-Speed (R),,,,,,,,,,Isola I-Speed (R),,,,Conductor,
Isola I-Speed IS (R),,,,,,,,,,Isola I-Speed IS (R),,,,Conductor,
Isola I-TeraMT (R),,,,,,,,,,Isola I-TeraMT (R),,,,Conductor,
Isola IS300MD,,,,,,,,,,Isola IS300MD,,,,Conductor,
Isola IS680-280,,,,,,,,,,Isola IS680-280,,,,Conductor,
Isola IS680-300,,,,,,,,,,Isola IS680-300,,,,Conductor,
Isola IS680-320,,,,,,,,,,Isola IS680-320,,,,Conductor,
Isola IS680-338,,,,,,,,,,Isola IS680-338,,,,Conductor,
Isola IS680-345,,,,,,,,,,Isola IS680-345,,,,Conductor,
Isola IS680AG,,,,,,,,,,Isola IS680AG,,,,Conductor,
Isola Stratus (R),,,,,,,,,,Isola Stratus (R),,,,Conductor,
Isola Tachyon (R),,,,,,,,,,Isola Tachyon (R),,,,Conductor,
Isola Tachyon 100G (R),,,,,,,,,,Isola Tachyon 100G (R),,,,Conductor,
Isola TerraGreen (R),,,,,,,,,,Isola TerraGreen (R),,,,Conductor,
Krempel Akaflex KCL (tm),,,,,,,,3.4,,Krempel Akaflex KCL (tm),,,,Conductor,
Krempel Akaflex PCL (tm),,,,,,,,3.3,,Krempel Akaflex PCL (tm),,,,Conductor,
Mask_material,,,,,,,,,,Mask_material,,,,Conductor,
Megtron6_1035_Laminate,,,,,,,,,,Megtron6_1035_Laminate,,,,Conductor,
Megtron6_1035_PP,,,,,,,,,,Megtron6_1035_PP,,,,Conductor,
Megtron6_1078_PP,,,,,,,,,,Megtron6_1078_PP,,,,Conductor,
Megtron6_3313_Laminate,,,,,,,,,,Megtron6_3313_Laminate,,,,Conductor,
Mg-Typical,,,,,,,,,,Mg-Typical,,,,Conductor,
Mg-Typical_Ref,,,,,,,,,,Mg-Typical_Ref,,,,Conductor,
Mica-Typical,,,,,,,,,,Mica-Typical,,,,Conductor,
Mica-brick-red or white,,,,,,,,,,Mica-brick-red or white,,,,Conductor,
Mica-powder,,,,,,,,,,Mica-powder,,,,Conductor,
Minteq_Pyroid_HT,,,,,,,,,,Minteq_Pyroid_HT,,,,Conductor,
Mold_material,,,,,,,,,,Mold_material,,,,Conductor,
Moly70Cu,190,,385,,9700,,1.70E-08,1,,Moly70Cu,,,,Conductor,
NdFe30,,,,,,,,,,NdFe30,,,,Conductor,
NdFe35,,,,,,,,,,NdFe35,,,,Conductor,
Nelco N4000-13 (tm),,,,,,,,3.5,,Nelco N4000-13 (tm),,,,Conductor,
Nelco N4000-13 SI (tm),,,,,,,,3.4,,Nelco N4000-13 SI (tm),,,,Conductor,
Neltec NH9294 (tm),,,,,,,,2.94,,Neltec NH9294 (tm),,,,Conductor,
Neltec NH9300 (tm),,,,,,,,3,,Neltec NH9300 (tm),,,,Conductor,
Neltec NH9320 (tm),,,,,,,,3.2,,Neltec NH9320 (tm),,,,Conductor,
Neltec NH9338 (tm),,,,,,,,3.38,,Neltec NH9338 (tm),,,,Conductor,
Neltec NH9348 (tm),,,,,,,,3.48,,Neltec NH9348 (tm),,,,Conductor,
Neltec NH9350 (tm),,,,,,,,3.5,,Neltec NH9350 (tm),,,,Conductor,
Neltec NX9240 (tm),,,,,,,,2.4,,Neltec NX9240 (tm),,,,Conductor,
Neltec NX9245(IM) (tm),,,,,,,,2.45,,Neltec NX9245(IM) (tm),,,,Conductor,
Neltec NX9294 (tm),,,,,,,,2.94,,Neltec NX9294 (tm),,,,Conductor,
